bank_name,eibor_rate,eibor_type,variable_rate_addition,minimum_rate,fixed_until,fixed_rate,follow_on_rate,follow_on_rate_type,type_of_mortgage,interest_rate,interest_rate_type,type_of_account,life_insurance,property_insurance,property_insurance_payment_period,home_valuation_fee,overpayment_fee,additional_information,buyout_processing_fee,maximum_length_of_mortgage,type_of_employment,type_of_transaction,citizen_state,expiry_date,pre_approval_fee,early_settlement_fee,loan_to_value_ratio,loan_to_value_threshold,life_insurance_payment_period,minimum_mortgage_processing_fee,mortgage_processing_fee,mortgage_contract_months,monthly_payment,mortgage_processing_fee_as_amount,is_exclusive,status_type,description,created_at,updated_at,customer_segments,has_fee_financing,includes_agency_fees,includes_government_fees
RAKBANK,4.236,EIBOR 3 MONTH,1.69,2.49,2,3.89,5.926,variable_addition,CONVENTIONAL,3.89,fixed,NSTL,0.0159,0.035,annually,3150.0,Up to 25% every year - after the fixed period,"Key Points:
(1) Elite category: Salary for the loan >= AED 50,000 OR Loan amount >= AED 2,500,000",0.0,25,SALARY,TRANSFER OF EXISTING MORTGAGE,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 whichever is lower",0.0,,monthly,0.0,0.0,2,,,False,1,,2025-05-27T10:26:46,2025-05-27T10:26:46,"[{'type_of_account': 'STL', 'profile': 'RAK Elite + STL + CC - Non HIO', 'description': None}]",False,False,False
RAKBANK,4.236,EIBOR 3 MONTH,1.69,2.49,2,3.89,5.926,variable_addition,ISLAMIC,3.89,fixed,NSTL,0.0159,0.035,annually,3150.0,Up to 25% every year - after the fixed period,"Key Points:
(1) Elite category: Salary for the loan >= AED 50,000 OR Loan amount >= AED 2,500,000",0.0,25,SALARY,BUYOUT + EQUITY,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 whichever is lower",0.0,,monthly,0.0,0.52,2,,,False,1,,2025-05-27T10:26:46,2025-05-27T10:26:46,"[{'type_of_account': 'STL', 'profile': 'RAK Elite + STL + CC - Non HIO', 'description': None}]",False,False,False
RAKBANK,4.236,EIBOR 3 MONTH,1.69,2.49,2,3.89,5.926,variable_addition,ISLAMIC,3.89,fixed,NSTL,0.0159,0.035,annually,3150.0,Up to 25% every year - after the fixed period,"Key Points:
(1) Elite category: Salary for the loan >= AED 50,000 OR Loan amount >= AED 2,500,000",0.0,25,SALARY,CASH OUT PROPERTY,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 whichever is lower",0.0,,monthly,0.0,0.52,2,,,False,1,,2025-05-27T10:26:46,2025-05-27T10:26:46,"[{'type_of_account': 'STL', 'profile': 'RAK Elite + STL + CC - Non HIO', 'description': None}]",False,False,False
RAKBANK,4.236,EIBOR 3 MONTH,1.69,2.49,2,3.89,5.926,variable_addition,ISLAMIC,3.89,fixed,NSTL,0.0159,0.035,annually,3150.0,Up to 25% every year - after the fixed period,"Key Points:
(1) Elite category: Salary for the loan >= AED 50,000 OR Loan amount >= AED 2,500,000",0.0,25,SALARY,PRIMARY PURCHASE,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 whichever is lower",0.0,,monthly,0.0,0.0,2,,,False,1,,2025-05-27T10:26:46,2025-05-27T10:26:46,"[{'type_of_account': 'STL', 'profile': 'RAK Elite + STL + CC - Non HIO', 'description': None}]",False,False,False
RAKBANK,4.236,EIBOR 3 MONTH,1.69,2.49,2,3.89,5.926,variable_addition,ISLAMIC,3.89,fixed,NSTL,0.0159,0.035,annually,3150.0,Up to 25% every year - after the fixed period,"Key Points:
(1) Elite category: Salary for the loan >= AED 50,000 OR Loan amount >= AED 2,500,000",0.0,25,SALARY,TRANSFER OF EXISTING MORTGAGE,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 whichever is lower",0.0,,monthly,0.0,0.0,2,,,False,1,,2025-05-27T10:26:46,2025-05-27T10:26:46,"[{'type_of_account': 'STL', 'profile': 'RAK Elite + STL + CC - Non HIO', 'description': None}]",False,False,False
RAKBANK,4.236,EIBOR 3 MONTH,1.69,2.49,2,3.89,5.926,variable_addition,CONVENTIONAL,3.89,fixed,NSTL,0.0159,0.035,annually,3150.0,Up to 25% every year - after the fixed period,"Key Points:
(1) Elite category: Salary for the loan >= AED 50,000 OR Loan amount >= AED 2,500,000",0.0,25,SALARY,BUYOUT + EQUITY,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 whichever is lower",0.0,,monthly,0.0,0.52,2,,,False,1,,2025-05-27T10:26:46,2025-05-27T10:26:46,"[{'type_of_account': 'STL', 'profile': 'RAK Elite + STL + CC - Non HIO', 'description': None}]",False,False,False
ENBD,4.314,EIBOR 1 MONTH,1.99,1.99,2,3.89,6.304,variable_addition,CONVENTIONAL,3.89,fixed,,0.0171,0.005,monthly,3150.0,Upto 20% every year,"Key Points:
(1) Salary transfer letter is mandatory.
(2) 1 Month LOS for Approved list of employers.
(3) LTV supported @ 80% for property & market value exact OR below AED 4,900,000.
(4) External Life insurance (Met life, Friends provident, Zurich) / NIL - Subject to bank's approval.
(5) Life Insurance - 0.0171% per month for Primary Applicant & 0.0137% per month for additional applicant. Additional 0.0138% per month for pilots and air crew.",0.0,25,SALARY,TRANSFER OF EXISTING MORTGAGE,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 [+VAT] whichever is lower",0.0,,monthly,0.0,0.0,2,,,False,1,,2025-07-06T12:05:07,2025-07-06T12:05:07,"[{'type_of_account': 'STL', 'profile': 'Salary < 50K', 'description': None}]",False,False,False
ENBD,4.314,EIBOR 1 MONTH,1.99,1.99,2,3.89,6.304,variable_addition,CONVENTIONAL,3.89,fixed,,0.0171,0.005,monthly,3150.0,Upto 20% every year,"Key Points:
(1) Salary transfer letter is mandatory.
(2) 1 Month LOS for Approved list of employers.
(3) LTV supported @ 80% for property & market value exact OR below AED 4,900,000.
(4) External Life insurance (Met life, Friends provident, Zurich) / NIL - Subject to bank's approval.
(5) Life Insurance - 0.0171% per month for Primary Applicant & 0.0137% per month for additional applicant. Additional 0.0138% per month for pilots and air crew.",0.0,25,SALARY,BUYOUT + EQUITY,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 [+VAT] whichever is lower",0.0,,monthly,0.0,0.1575,2,,,False,1,,2025-07-06T12:05:07,2025-07-06T12:05:07,"[{'type_of_account': 'STL', 'profile': 'Salary < 50K', 'description': None}]",False,False,False
ENBD,4.314,EIBOR 1 MONTH,1.99,1.99,2,3.89,6.304,variable_addition,CONVENTIONAL,3.89,fixed,,0.0171,0.005,monthly,3150.0,Upto 20% every year,"Key Points:
(1) Salary transfer letter is mandatory.
(2) 1 Month LOS for Approved list of employers.
(3) LTV supported @ 80% for property & market value exact OR below AED 4,900,000.
(4) External Life insurance (Met life, Friends provident, Zurich) / NIL - Subject to bank's approval.
(5) Life Insurance - 0.0171% per month for Primary Applicant & 0.0137% per month for additional applicant. Additional 0.0138% per month for pilots and air crew.",0.0,25,SALARY,PRIMARY PURCHASE,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 [+VAT] whichever is lower",0.0,,monthly,0.0,0.1575,2,,,False,1,,2025-07-06T12:05:07,2025-07-06T12:05:07,"[{'type_of_account': 'STL', 'profile': 'Salary < 50K', 'description': None}]",False,False,False
ENBD,4.314,EIBOR 1 MONTH,1.99,1.99,2,3.89,6.304,variable_addition,CONVENTIONAL,3.89,fixed,,0.0171,0.005,monthly,3150.0,Upto 20% every year,"Key Points:
(1) Salary transfer letter is mandatory.
(2) 1 Month LOS for Approved list of employers.
(3) LTV supported @ 80% for property & market value exact OR below AED 4,900,000.
(4) External Life insurance (Met life, Friends provident, Zurich) / NIL - Subject to bank's approval.
(5) Life Insurance - 0.0171% per month for Primary Applicant & 0.0137% per month for additional applicant. Additional 0.0138% per month for pilots and air crew.",0.0,25,SALARY,TRANSFER OF EXISTING MORTGAGE,UAE RESIDENT,,0.0,"1% of the loan outstanding or AED 10,000 [+VAT] whichever is lower",0.0,,monthly,0.0,0.0,2,,,False,1,,2025-07-06T12:05:07,2025-07-06T12:05:07,"[{'type_of_account': 'STL', 'profile': 'Salary > 50K', 'description': None}]",False,False,False
